nome_escola
"Colegio Estadual Cívico Militar Prefeito Carlos Massaretto"
"Alberto Santos Dumont, C E-Ef M Profis"
"Colégio Estadual Cívico Militar Heitor C. A. Furtado"
"Jose Canale, C E Cívico-Militar Pe-Ef M e Profissional"
"Colégio Estadual Cívico Militar Marquês de Caravelas"
"Francisco F Bastos, C E-Ef M"
"Walfredo S Correa, C E-Ef M"
"Jose De Anchieta, C E Pe-Ef M Profis"
"OSMAR GUARACY FREIRE, C E-EF M P"
"Colégio Estadual Polivalente Carlos Domingos Silva"
"Colégio Estadual Irondi Mantovani Pugliesi"
"Colégio Estadual Rosa Delúcia Calsavara"
"Colégio Estadual Cívico Militar Olavo Bilac"
"Colégio Estadual Cívico Militar Jandaia do Sul"
"Colégio Estadual Tadashi Enomoto"
"C.E. Cívico-Militar Professora Jaci Real Prado de Oliveira"
"Emilia Buzato, C E-Ef M"
"Escola Estadual Prof Rosa Frederica Johnson"
"Colégio Estadual Professor Alberto Krause"
"Ivan F Do Amaral Filho, C E-Ef M"
"Colégio Estadual Cívico-Militar Oscar Joseph D'Plácido e Silva"
"Planta Deodoro, E E-Ef"
"Maria Lopes De Paula, C E Profa-Ef M"
"Colégio Estadual Cívico-Militar Alfredo Chaves"
"Joao Bosco, C E D-Ef M"
"Rui Barbosa, C E C-M - EFM"
"Vinicius De Moraes, C E-Ef M"
"Colégio Estadual Cívico Militar Vereador Luiz Maltaca"
"Colégio Estadual Semiramis de Barros Braga"
"Colégio Estadual Elias Abrahao C E E Fund Medio"
"Colégio Estadual Manoel Borges de Macedo"
"Dias Da Rocha do FATO"
"Colégio Cívico Militar Prof. Anderson Rangel E. F. M."
"Colégio Estadual Cívico-Militar- Prof. João Hoinatz De Andrade"
"Colégio Estadual General Carneiro"
"Colégio Estadual Cívico Militar Manoel Antônio Da Cunha"
"Mireille Maria F Z Machado, E E Prof-Ef"
"Colégio Estadual Cívico-Militar Eleutério Fernandes de Andrade"
"Colégio Estadual Presidente Caetano Munhoz Rocha"
"Ovande Do Amaral, C E Dr-Ef M"
"Chico Mendes, C E-Ef M"
"Antonio Vieira, C E Pe-Ef M"
"Colégio Shirley Catarina Tamalu Machado"
