NOME_LISTA_OFICIAL;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SCORE
Colégio Estadual Professor Doutor Heber Soares Vargas;41030800;HEBER S VARGAS C E CM PROF DREF M P;Londrina;Estadual;0.96
Hugo Simas, C E-Ef M;41031237;HUGO SIMAS C E CMEF M PROFIS;Londrina;Estadual;1.267
Colégio Estadual Humberto P Coutinho;41031253;HUMBERTO P COUTINHO C E CMEF M PROFIS;Londrina;Estadual;1.267
Colégio Estadual Margarida de Barros Lisboa;41031873;MARGARIDA B LISBOA C E CM PROFAEF M;Londrina;Estadual;0.96
Nilo Pecanha, C E-Ef M;41032241;NILO PECANHA C E CMEF M PROFIS;Londrina;Estadual;1.267
Colégio Estadual Do Patrimônio Regina;41597915;PATRIMONIO REGINA C E CM DOEF M;Londrina;Estadual;1.2
Colegio Estadual Profº. Thiago Terra;41355156;THIAGO TERRA C E CMEF M PROF;Londrina;Estadual;1.0
Colégio Estadual Pe Wistremundo R. P. Garcia;41030486;WISTREMUNDO R P GARCIA C E CM PEEFM P;Londrina;Estadual;1.2
Colégio Estadual Dr. Lauro Portugal Tavares;41033620;LAURO P TAVARES C E CM DREF M;Rolândia;Estadual;0.96
Colégio Estadual Serafim França;41019229;SERAFIM FRANCA C E CMEF M PROFIS;Astorga;Estadual;1.267
Colégio Estadual Cecília Meireles;41019652;CECILIA MEIRELES C E CMEF M PROFIS;Colorado;Estadual;1.267
Colégio Estadual São Vicente Pallotti;41023161;SAO VICENTE PALLOTTI C E CMEF M P;Mandaguari;Estadual;1.3
Colégio estadual Pedro Viriato Parigot de Souza;41023382;PEDRO V PARIGOT SOUZA C E CMEF M P;Marialva;Estadual;1.09
Colégio Estadual Alberto J. Byington Jr.;41023552;ALBERTO J BYINGTON JR C ECMEF M PROFI;Maringá;Estadual;0.99
Colégio Estadual Duque de Caxias cívico-militar;41026500;CAXIAS E M R DUQUE DEEF;Arapongas;Municipal;0.867
Colégio Estadual Ipiranga;41024079;IPIRANGA C E CMEF M;Maringá;Estadual;1.2
Colégio Estadual Tomaz Edison de Andrade Vieira;41024796;TOMAZ E DE A VIEIRA C E CMEF M PROFIS;Maringá;Estadual;0.86
Colégio Estadual Vinícius de Moraes;41375602;VINICIUS DE MORAES C E CMEF M;Colombo;Estadual;1.267
Colégio Estadual Vercindes Gerotto dos Reis;41025040;VERCINDES G DOS REIS C E CMEF M PROFI;Paiçandu;Estadual;0.96
Colégio Estadual Cora Coralina;41145500;CORA CORALINA C E CMEF M PROFIS;Sarandi;Estadual;1.267
Colégio Estadual do Jardim Independência;41025105;JARDIM INDEPENDENCIA C E DOEF M PROFIS;Sarandi;Estadual;1.017
Escola Estadual Cecília Meireles;41019652;CECILIA MEIRELES C E CMEF M PROFIS;Colorado;Estadual;1.267
Escola Estadual Pres. Arthur da Costa e Silva;41022750;ARTHUR C E SILVA E E CM PRESEF;Floresta;Estadual;0.96
Escola Estadual Cívico-Militar F. J. Perioto – Ensino Fundamental;41020286;FRANCISCO J PERIOTO E E CM PROFEF;Mandaguaçu;Estadual;0.667
Manoel F Almeida, E E Dr-Ef;41021010;MANOEL F ALMEIDA E E CM DREF;Santo Inácio;Estadual;1.2
Colégio Estadual Presidente Afonso Camargo;41001060;AFONSO CAMARGO C E CM PRESEF M;Loanda;Estadual;1.2
Colégio Estadual Cívico-Militar Vale do Tigre;41001672;VALE DO TIGRE C E CMEF M;Nova Londrina;Estadual;1.267
Colégio Estadual Alberico M da Silva;41003330;ALBERICO M DA SILVA C E CMEF M;Santa Isabel do Ivaí;Estadual;1.267
Colégio Estadual Cívico Militar Santos Dumont;41072120;SANTOS DUMONT C E CMEF M;Cascavel;Estadual;1.267
Moyses Lupion, C E-Ef M;41138880;MOYSES LUPION C E CMEF M N PROFIS;Antonina;Estadual;1.267
29 De Abril, C E-Ef M;41010710;11 DE ABRIL C EEF M;Tapejara;Estadual;0.95
Escola Estadual Professora Abigail Dos Santos Correa;41139895;ABIGAIL DOS S CORREA E E CM PROFAEF;Matinhos;Estadual;0.96
Colégio Estadual Cívico Militar Dídio Augusto de Camargo Viana;41140605;DIDIO A DE C VIANA E E CMEF;Paranaguá;Estadual;0.86
Escola Estadual Cívico Militar Faria Sobrinho;41140664;FARIA SOBRINHO E E CMEF;Paranaguá;Estadual;1.267
Colégio Estadual Cívico-Militar Helena Viana Sundin, Ensino Fundamental e Ensino Médio;41140729;HELENA VIANA SUNDIN C E CMEF M;Paranaguá;Estadual;0.871
Colegio Estadual Hélio Antônio De Souza;41361563;HELIO ANTONIO DE SOUZA C E CMEF M;Pontal do Paraná;Estadual;1.3
Colégio Estadual Sertãozinho;41140052;SERTAOZINHO C E CMEF M N PROFIS;Matinhos;Estadual;1.2
Colégio Estadual Cívico Militar Flauzina Dias Viegas;41002148;FLAUZINA DIAS VIEGAS C E CMEF M;Paranavaí;Estadual;1.3
Colégio Estadual Leonel Franca;41002296;LEONEL FRANCA C E CMEF M PROFIS;Paranavaí;Estadual;1.267
Colégio Estadual Sílvio Vidal;41002636;SILVIO VIDAL C E CMEF M PROFIS;Paranavaí;Estadual;1.267
Escola Estadual Agostinho Stefanello;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;Estadual;1.267
Colégio Estadual Santo Inácio de Loyola;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;Estadual;1.3
Colégio Estadual Cívico-Militar l Nova Visão;41091396;NOVA VISAO C E CMEF M PROFIS;Chopinzinho;Estadual;1.267
Colégio Estadual Pres. Castelo Branco;41107152;CASTELO BRANCO C E CM PRESE F M P;Clevelândia;Estadual;1.2
Tancredo Neves, C E-Ef M;41092538;TANCREDO NEVES C E CMEF M;Coronel Vivida;Estadual;1.267
Sebastiao Parana, C E-Ef M;41109422;SEBASTIAO PARANA C E CMEF M PROFIS;Palmas;Estadual;1.267
Colégio Estadual Cívico Militar Monsenhor Eduardo;41388011;EDUARDO C E CM MONSEF M PROFIS;Palmas;Estadual;0.8
Carmela Bortot, E E-Ef;41093305;CARMELA BORTOT C E CMEF M;Pato Branco;Estadual;1.267
Castro Alves, C E-Ef M;41093313;CASTRO ALVES C E CMEF M;Pato Branco;Estadual;1.267
Colégio Estadual Rui Barbosa;41126440;RUI BARBOSA C E CMEF M PROF;Colombo;Estadual;1.267
Escola Estadual Irmão Isidoro Dumont - EF;41092694;ISIDORO DUMONT E E CM IREF;Itapejara d'Oeste;Estadual;0.96
Colégio Estadual São João Bosco - EFM;41093666;SAO JOAO BOSCO C E CMEF M P;Pato Branco;Estadual;1.09
Colégio Estadual João C. da Costa;41095537;JOAO C DA COSTA C E CMEF M;Palmital;Estadual;1.267
Colégio Estadual Cívico Militar Dom Pedro I;41096908;PEDRO I C E CM DEF M PROFIS;Pitanga;Estadual;1.133
Colégio Estadual Cívico Militar Eurico Batista Rosas;41352718;EURICO BATISTA ROSAS C E CMEF M;Carambeí;Estadual;1.3
Colégio Estadual Cívico-Militar Joana Torres Pereira;41060253;JOANA T PEREIRA C E CM PROFA EF M;Castro;Estadual;1.0
Colégio Estadual Prof. Nicolau Hampf;41373960;NICOLAU HAMPF C E CM PROFEF M;Castro;Estadual;1.2
Colégio Estadual Cívico-Militar Alcides Munhoz;41109570;ALCIDES MUNHOZ C E CMEF M;Imbituva;Estadual;1.267
Colégio Estadual Cívico-Militar São Judas Tadeu;41061748;SAO JUDAS TADEU C E CMEF M PROF;Palmeira;Estadual;1.3
Colégio Estadual Cívico-Militar Prof• Leandro Manoel da Costa;41058844;LEANDRO M DA COSTA C E CM PROFEF M P;Piraí do Sul;Estadual;0.96
Colégio Estadual Cívico-Militar General Antônio Sampaio;41062000;ANTONIO SAMPAIO C E CM GALEF M;Ponta Grossa;Estadual;1.2
Colégio Estadual Cívico-Militar Professor Colares;41062302;COLARES C E CM PROFEF M;Ponta Grossa;Estadual;1.133
Colégio Estadual Cívico-Militar José Elias da Rocha;41062833;JOSE ELIAS DA ROCHA C E CMEF M PROFIS;Ponta Grossa;Estadual;1.3
Colégio Estadual Cívico-Militar Frei Doroteu de Padua;41063236;DOROTEU DE PADUA C E CM FREF M PROFIS;Ponta Grossa;Estadual;0.96
Colégio Estadual Cívico-Militar Coronel Amazonas;41122453;AMAZONAS C E CM CELEF M P;Porto Amazonas;Estadual;1.133
Colégio Estadual Cívico Militar General Osório;41063155;OSORIO C E CM GALEF M PROFIS;Ponta Grossa;Estadual;1.133
Colégio cívico militar do Paraná Becker e Silva;41062108;BECKER E SILVA C E CM PROFEF M PROFIS;Ponta Grossa;Estadual;0.96
Colégio Estadual Cívico-Militar Padre Carlos Zelesny;41062191;CARLOS ZELESNY C E CM PEEF M;Ponta Grossa;Estadual;1.2
Colégio Estadual Cívico Militar Prof. Edison Pietrobelli;41354273;EDISON PIETROBELLI E E CM PROFEF;Ponta Grossa;Estadual;1.2
Colégio Cívico-Militar Dr. Epaminondas Novaes Ribas;41062469;EPAMINONDAS N RIBAS C E CM DREF M P;Ponta Grossa;Estadual;0.96
Nossa Sra Da Gloria, C E-Ef M;41063139;NOSSA SRA DA GLORIA C E CMEF M;Ponta Grossa;Estadual;1.3
Colégio Estadual Cívico Militar José de Alencar;41049098;JOSE DE ALENCAR C E CMEF M;Curiúva;Estadual;1.267
Colégio Estadual Cívico-Militar Gregório Szeremeta;41145690;GREGORIO SZEREMETA C E CMEF M;Reserva;Estadual;1.267
Colégio Estadual Prof. Custódio Netto;41056140;CUSTODIO NETTO C E CM PROFEF M PROFIS;Telêmaco Borba;Estadual;1.2
Colégio Estadual Dr. Marcelino Nogueira;41056361;MARCELINO NOGUEIRA C E CM DREF M;Telêmaco Borba;Estadual;1.2
Colégio Estadual Profª. Maria Aparecida Militão de S. Pereira;41056388;MARIA AP M S PEREIRA C E CM PROFAEF M;Telêmaco Borba;Estadual;0.814
Colégio Estadual Cívico-Militar São Pedro;41056540;SAO PEDRO C E CMEF M;Telêmaco Borba;Estadual;1.267
Colégio Estadual Cívico Militar Presidente Vargas;41021592;VARGAS C E CM PRESEF M;Bela Vista do Paraíso;Estadual;1.133
Colégio Estadual Jardim Alegre;41056264;JARDIM ALEGRE C E CMEF M PROFIS;Telêmaco Borba;Estadual;1.267
Colégio Estadual Jardim Zeballos;41360826;JARDIM ZEBALLOS C E CMEF M PROFIS;Guaíra;Estadual;1.267
Colégio Estadual Frentino Sackser;41065425;FRENTINO SACKSER C E CMEF M PROF;Marechal Cândido Rondon;Estadual;1.267
Colegio Estadual Marechal Rondon;41015908;RONDON C E CM MALEF M PROFIS;Campo Mourão;Estadual;1.133
Colégio Estadual Barão do Rio Branco;41032853;RIO BRANCO C E CM BAR DOEF M;Londrina;Estadual;1.2
Colégio Estadual Cívico-Militar Antonio José Reis;41068203;ANTONIO J REIS C E CMEF M;Toledo;Estadual;1.0
Colégio Estadual Cívico Militar Jardim Maracanã;41068653;JARDIM MARACANA C E CMEF M;Toledo;Estadual;1.267
Novo Horizonte, C E-Ef M;41068980;NOVO HORIZONTE C E CMEF M PROFIS;Toledo;Estadual;1.267
Escola Estadual Graciliano Ramos;41067029;GRACILIANO RAMOS E E CMEF;Santa Helena;Estadual;1.267
Joao Arnaldo Ritt, C E-Ef M;41068688;JOAO ARNALDO RITT C E CMEF M;Toledo;Estadual;1.3
Luiz Augusto M Rego, C E-Ef M Profis;41068807;LUIZ AUGUSTO M REGO C E CMEF M PROFIS;Toledo;Estadual;1.3
Colégio Estadual Cívico-Militar Cruzeiro do Oeste;41005090;CRUZEIRO DO OESTE C E CMEF M PROFIS;Cruzeiro do Oeste;Estadual;1.267
Douradina, C E-Ef M;41005384;DOURADINA C E CMEF M PROFIS;Douradina;Estadual;1.2
Colégio Cívico militar Padre Manuel Da Nóbrega;41008316;MANUEL DA NOBREGA C E CM PEEF M P;Umuarama;Estadual;1.2
Colégio Estadual Monteiro Lobato - EF M;41044363;MONTEIRO LOBATO C E CMEF M;Cornélio Procópio;Estadual;1.267
Zilda Arns, C E Dra- Ef M;41008472;ZILDA ARNS C E CM DRA EF M;Umuarama;Estadual;1.267
Colégio Estadual Anchieta;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;Estadual;1.2
Castelo Branco, C E Pres-Ef M;41107152;CASTELO BRANCO C E CM PRESE F M P;Clevelândia;Estadual;1.2
Colégio Estadual Cívico-Militar Novo Milênio;41358791;NOVO MILENIO C E CMEF M;Bituruna;Estadual;1.267
Colégio Estadual Bernardina Schleder;41117905;BERNARDINA SCHLEDER C E CMEF M;União da Vitória;Estadual;1.267
Colégio Estadual João Paulo II;41057694;JOAO PAULO II C E CMEF M;Arapoti;Estadual;1.3
Colégio Estadual Anita Canet;41058348;ANITA CANET C E CMEF M;Jaguariaíva;Estadual;1.267
Colégio Estadual Olavo Bilac;41035046;OLAVO BILAC C E CMEF M;Faxinal;Estadual;1.267
Colégio Estadual Cívico-Militar Newton Sampaio EFM;41052250;NEWTON SAMPAIO C E CMEF M;São José da Boa Vista;Estadual;1.0
Colégio Estadual Miguel Nassif Maluf;41053494;MIGUEL NASSIF MALUF C E CMEF M;Wenceslau Braz;Estadual;1.3
Escola Estadual Erico Verissimo - Ensino Fundamental;41028570;ERICO VERISSIMO C E CMEF M PROFIS;Cambé;Estadual;0.86
Vila John Kennedy, C E Da-Ef M;41106172;VILA JOHN KENNEDY C E CM DAEF M;Quedas do Iguaçu;Estadual;1.24
Colégio Estadual Osório Duque Estrada;41073037;OSORIO DUQUE ESTRADA C E CMEF M;Diamante do Sul;Estadual;1.3
Colégio Estadua Alto Recreio;41105176;ALTO RECREIO C E CMEF M;Quedas do Iguaçu;Estadual;1.0
Colégio Estadual Cívico Militar Júlio Farah;41049764;JULIO FARAH C E CMEF M;Ibaiti;Estadual;1.267
Colégio Estadual Cívico-Militar Professor Segismundo Antunes Netto 1º e 2º Grau;41052684;SEGISMUNDO A NETTO C E CM PROFEF M N;Siqueira Campos;Estadual;0.833
