NOME_LISTA_OFICIAL;ID_ESCOLA;NO_ESCOLA_INEP;NO_MUNICIPIO;REDE;SCORE
Colégio Estadual Cívico-Militar Eleutério Fernandes de Andrade;41142063;ELEUTERIO F DE ANDRADE C E CMEF M P;Quitandinha;Estadual;1.0
Colégio Estadual Presidente Caetano Munhoz Rocha;41049578;CAETANO MUNHOZ DA ROCHA C E CEF M;Ibaiti;Estadual;1.05
Ovande Do Amaral, C E Dr-Ef M;41142837;OVANDE DO AMARAL C E CM DREF M;Rio Negro;Estadual;1.2
Chico Mendes, C E-Ef M;41137493;CHICO MENDES C E CMEF M;São José dos Pinhais;Estadual;1.267
Antonio Vieira, C E Pe-Ef M;41146093;ANTONIO VIEIRA C E CM PEEF M;São José dos Pinhais;Estadual;1.2
Colégio Shirley Catarina Tamalu Machado;41389310;SHIRLEY C T MACHADO C E CMEF M PROF;São José dos Pinhais;Estadual;0.86
Colégio Estadual Zilda Arns Neumann;41601890;ZILDA ARNS NEUMANN C E CM DRAEF M P;São José dos Pinhais;Estadual;1.24
Colégio Estadual Rocha Pombo;41158806;ROCHA POMBO C E CMEF M;Araucária;Estadual;1.267
Juventude De Santo Antonio, C E-Ef M;41124014;JUVENTUDE DE SANTO ANTONIO C E CMEF M;Balsa Nova;Estadual;1.3
Colégio Estadual Djalma Marinho;41125053;DJALMA MARINHO C E CMEF M PROFIS;Campo Largo;Estadual;1.267
Joao Xxiii, C E-E F M;41125193;JOAO XXIII C E CMEF M;Campo Largo;Estadual;1.267
Macedo Soares, C E-Ef M;41125304;MACEDO SOARES C E CMEF M PROFIS;Campo Largo;Estadual;1.267
Miguel Franco Filho, C E-Ef M;41126670;MIGUEL FRANCO FILHO C E CMEF M PROFIS;Contenda;Estadual;1.3
Colégio Estadual Padre Arnaldo Jansen;41137361;ARNALDO JANSEN C E CM PEEF M PROFIS;São José dos Pinhais;Estadual;1.2
Colégio Estadual Cívico-Militar Guimarães Rosa;41063686;GUIMARAES ROSA C E CMEF M;Assis Chateaubriand;Estadual;1.267
Colégio Estadual Cívico Militar Senador Teotonio Vilela;41064020;TEOTONIO VILELA C E CM SENEF M;Assis Chateaubriand;Estadual;1.2
Escola Estadual Professor Darcy José Costa;41015576;DARCY JOSE COSTA C E CM PROFEF M P;Campo Mourão;Estadual;1.24
Colégio Estadual Dr Osvaldo Cruz-Ensino de 1º e 2º Graus;41015827;OSVALDO CRUZ C E CM DREF M;Campo Mourão;Estadual;0.833
Colégio Estadual Marechal Rondon - Ensino Fundamental, Médio e Cursos Técnicos;41015908;RONDON C E CM MALEF M PROFIS;Campo Mourão;Estadual;0.55
Unidade Polo, C E-Ef M;41015975;UNIDADE POLO C E CMEF M PROFIS;Campo Mourão;Estadual;1.267
Colégio Estadual Cívico Militar Rui Barbosa E E E Fund;41126440;RUI BARBOSA C E CMEF M PROF;Colombo;Estadual;1.267
Colégio Estadual Olavo Bilac;41035046;OLAVO BILAC C E CMEF M;Faxinal;Estadual;1.267
Cataratas, C E-Ef M;41071123;CATARATAS C E CMEF M;Cascavel;Estadual;1.2
Colégio Estadual Brasmadeira;41071298;BRASMADEIRA C E CMEF M PROFIS;Cascavel;Estadual;1.2
Colégio Estadual Julia Wanderley;41071654;JULIA WANDERLEY C E CM PROFEF M;Cascavel;Estadual;1.2
Colégio Estadual Cívico-Militar Olivo Fracaro - Ensino Fundamental e Medio;41427823;COLEGIO SESI APUCARANA ENSINO FUNDAMENTAL E MEDIO;Apucarana;Privada;0.531
Santos Dumont, C E-Ef M;41072120;SANTOS DUMONT C E CMEF M;Cascavel;Estadual;1.267
Colégio Estadual Doutor João Ferreira Neves;41072391;JOAO F NEVES C E CM DREF M;Catanduvas;Estadual;0.96
Colégio Estadual Cívico-Militar Lindoeste-EFM;41074360;LINDOESTE C E CMEF M PROFIS;Lindoeste;Estadual;0.833
Santa Tereza Do Oeste, C E-Ef M;41075129;SANTA TEREZA DO OESTE C E CMEF M P;Santa Tereza do Oeste;Estadual;1.3
