ano_saeb;codigo_inep;nome_escola;municipio;status_matching;fonte_saeb;observacao
2005;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41000021;AGOSTINHO STEFANELLO E E CMEF;Alto Paraná;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41000978;MACHADO DE ASSIS E EEF;Itaúna do Sul;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41001222;LAMARTINE R SOARES C E DREF M;Loanda;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41003292;SANTOS DUMONT C E CMEF M;Santa Cruz de Monte Castelo;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41004051;SANTO INACIO DE LOYOLA C E CMEF M;Terra Rica;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41004957;ANCHIETA C E CMEF M N;Cruzeiro do Oeste;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41007131;NESTOR VICTOR C EEF M N PROFIS;Pérola;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41007280;CASTELO BRANCO E E CM PRESEF;Tapira;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41008111;NEIVA PAVAN M GARCIA C E PROFA EF M;Umuarama;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2013;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2015;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2017;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2019;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2021;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2023;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2025;41010132;RUI BARBOSA C EEF EM PROFIS;Japurá;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2005;41010345;CASTRO ALVES C E CMEM PROFIS;Rondon;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2007;41010345;CASTRO ALVES C E CMEM PROFIS;Rondon;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2009;41010345;CASTRO ALVES C E CMEM PROFIS;Rondon;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
2011;41010345;CASTRO ALVES C E CMEM PROFIS;Rondon;CONFIRMADO;INEP/MEC - Divulgação dos Resultados do Ideb e Saeb por Escola (Paraná);Código INEP localizado com sucesso na base oficial de divulgação do SAEB/IDEB do INEP.
